Cow,Action,Amount,ID0,Card0,Money0,Wager0,Alive0,ID1,Card1,Money1,Wager1,Alive1,ID2,Card2,Money2,Wager2,Alive2,ID3,Card3,Money3,Wager3,Alive3,ID4,Card4,Money4,Wager4,Alive4,ID5,Card5,Money5,Wager5,Alive5
5,CALL,0,0,7,1000,1,1,1,13,1000,1,1,2,8,1000,1,1,3,11,1000,1,1,4,1,1000,1,1,5,0,1000,1,1
0,CALL,0,0,0,1000,1,1,1,13,1000,1,1,2,8,1000,1,1,3,11,1000,1,1,4,1,1000,1,1,5,4,1000,1,1
1,CALL,0,0,7,1000,1,1,1,0,1000,1,1,2,8,1000,1,1,3,11,1000,1,1,4,1,1000,1,1,5,4,1000,1,1
2,CALL,0,0,7,1000,1,1,1,13,1000,1,1,2,0,1000,1,1,3,11,1000,1,1,4,1,1000,1,1,5,4,1000,1,1
3,CALL,0,0,7,1000,1,1,1,13,1000,1,1,2,8,1000,1,1,3,0,1000,1,1,4,1,1000,1,1,5,4,1000,1,1
4,WAGER,1000,0,7,1000,1,1,1,13,1000,1,1,2,8,1000,1,1,3,11,1000,1,1,4,0,1000,1,1,5,4,1000,1,1
5,CALL,0,0,7,1000,1,1,1,13,1000,1,1,2,8,1000,1,1,3,11,1000,1,1,4,1,1000,1000,1,5,0,1000,1,1
0,CALL,0,0,0,1000,1,1,1,13,1000,1,1,2,8,1000,1,1,3,11,1000,1,1,4,1,1000,1000,1,5,4,1000,1000,1
1,CALL,0,0,7,1000,1000,1,1,0,1000,1,1,2,8,1000,1,1,3,11,1000,1,1,4,1,1000,1000,1,5,4,1000,1000,1
2,FOLD,0,0,7,1000,1000,1,1,13,1000,1000,1,2,0,1000,1,1,3,11,1000,1,1,4,1,1000,1000,1,5,4,1000,1000,1
3,FOLD,0,0,7,1000,1000,1,1,13,1000,1000,1,2,0,1000,1,0,3,0,1000,1,1,4,1,1000,1000,1,5,4,1000,1000,1
1,CALL,0,0,0,0,0,0,1,0,4002,1,1,2,13,999,1,1,3,1,999,1,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,10,4002,1,1,2,0,999,1,1,3,1,999,1,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,10,4002,1,1,2,13,999,1,1,3,0,999,1,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,6,4001,1,1,2,0,1001,1,1,3,12,998,1,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,6,4001,1,1,2,6,1001,1,1,3,0,998,1,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,4001,1,1,2,6,1001,1,1,3,12,998,1,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,7,4000,1,1,2,5,1000,1,1,3,0,1000,1,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,4000,1,1,2,5,1000,1,1,3,6,1000,1,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,7,4000,1,1,2,0,1000,1,1,3,6,1000,1,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,4002,1,1,2,1,999,1,1,3,9,999,1,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,9,4002,1,1,2,0,999,1,1,3,9,999,1,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,9,4002,1,1,2,1,999,1,1,3,0,999,1,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,11,4002,2,1,2,0,998,2,1,3,13,999,2,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,11,4002,2,1,2,9,998,2,1,3,0,999,2,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,4002,2,1,2,9,998,2,1,3,13,999,2,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,7,4000,2,1,2,3,996,2,1,3,0,1003,2,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,4000,2,1,2,3,996,2,1,3,12,1003,2,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,7,4000,2,1,2,0,996,2,1,3,12,1003,2,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3998,2,1,2,8,994,2,1,3,12,1007,2,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,5,3998,2,1,2,0,994,2,1,3,12,1007,2,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,5,3998,2,1,2,8,994,2,1,3,0,1007,2,1,4,0,0,0,0,5,0,0,0,0
2,CALL,0,0,0,0,0,0,1,11,3996,2,1,2,0,992,2,1,3,12,1011,2,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,11,3996,2,1,2,6,992,2,1,3,0,1011,2,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3996,2,1,2,6,992,2,1,3,12,1011,2,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,2,3994,2,1,2,7,990,2,1,3,0,1015,2,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3994,2,1,2,7,990,2,1,3,3,1015,2,1,4,0,0,0,0,5,0,0,0,0
2,WAGER,4,0,0,0,0,0,1,2,3994,2,1,2,0,990,2,1,3,3,1015,2,1,4,0,0,0,0,5,0,0,0,0
3,FOLD,0,0,0,0,0,0,1,2,3994,2,1,2,7,990,4,1,3,0,1015,2,1,4,0,0,0,0,5,0,0,0,0
